Date,Open,High,Low,Close,Adj Close,Volume
5/13/2020,35.398483,35.502846,34.71537,35.151802,30.267281,24596882
5/14/2020,34.914612,36.015179,34.895638,35.97723,30.978014,22362507
5/15/2020,36.015179,36.21442,35.474384,35.825428,30.847298,25460002
5/18/2020,36.375713,36.489563,35.702087,36.119545,31.100546,22635177
5/19/2020,35.910816,36.072105,35.398483,35.749527,30.78195,19476234
5/20/2020,36.005692,36.242886,35.626186,35.702087,30.7411,17504200
5/21/2020,35.645161,35.721062,35.151802,35.351044,30.438839,17652181
5/22/2020,35.208729,35.607212,35.066414,35.578747,30.634903,15781226
5/26/2020,35.721062,35.92979,35.531307,35.56926,30.626732,23260094
5/27/2020,35.493359,35.616699,35.075901,35.493359,30.561377,25904158
5/28/2020,35.901329,36.470589,35.787476,36.223907,31.190411,22521767
5/29/2020,36.309299,36.461102,35.654648,36.233398,31.198582,48333067
6/1/2020,33.681213,33.899429,33.121441,33.643265,28.968363,76884979
6/2/2020,33.709679,34.3074,33.444023,34.3074,29.540218,42690900
6/3/2020,34.43074,34.544594,33.719166,34.3074,29.540218,38751996
6/4/2020,33.880455,34.43074,33.870968,34.165085,29.417673,27013388
6/5/2020,34.383301,34.620495,34.041744,34.146111,29.401335,36705655
6/8/2020,33.965843,34.724857,33.851994,34.71537,29.891499,30194149
6/9/2020,34.629982,34.781784,34.316887,34.354839,29.58106,21675088
6/10/2020,34.497154,34.582542,34.051231,34.079697,29.344152,29557217
6/11/2020,33.776093,33.851994,31.574953,31.593927,27.203796,63166642
6/12/2020,32.333965,32.35294,31.356735,32.020874,27.571411,37902472
6/15/2020,31.593927,31.992411,31.081594,31.650854,27.252806,36247482
6/16/2020,31.86907,32.220116,31.043644,31.688805,27.285484,55616945
6/17/2020,31.86907,32.039848,31.612904,31.840607,27.416189,27509822
6/18/2020,31.565466,31.755219,31.290323,31.537003,27.154778,32278855
6/19/2020,31.963947,32.011387,31.423149,31.707781,27.301826,43986266
6/22/2020,31.622391,31.650854,31.223909,31.413662,27.048576,23332503
6/23/2020,31.49905,31.54649,31.062618,31.091082,26.770821,37690408
6/24/2020,31.034157,31.053131,30.360531,30.540796,26.297003,30817695
6/25/2020,30.464895,30.721064,30.199242,30.664137,26.403204,27418651
6/26/2020,30.597723,30.626186,29.990513,30.398481,26.174459,42153992
6/29/2020,30.796965,30.996204,30.550285,30.967743,26.664618,23956261
6/30/2020,30.863379,31.195446,30.578749,31.024668,26.713634,25451676
7/1/2020,32.770397,32.770397,31.992411,32.011387,27.56324,73503009
7/2/2020,32.846298,33.064514,32.296017,32.741936,28.192276,45270881
7/6/2020,33.159393,33.197342,32.618595,32.741936,28.192276,27150935
7/7/2020,32.305504,32.590134,32.220116,32.28653,27.800152,25148018
7/8/2020,32.267551,32.609108,31.850096,32.020874,27.571411,24256545
7/9/2020,32.0019,32.144215,31.404175,31.745731,27.334505,20363702
7/10/2020,31.935484,32.296017,31.774195,32.096775,27.636765,24459019
7/13/2020,32.950665,33.889942,32.751423,33.406071,28.764126,56569129
7/14/2020,33.557877,33.605312,33.092979,33.425049,28.780472,32854129
7/15/2020,34.146111,34.155598,33.652752,33.889942,29.180763,26294454
7/16/2020,33.776093,33.814041,33.45351,33.776093,29.082737,18421812
7/17/2020,34.02277,34.468693,33.899429,34.392788,29.613739,23347365
7/20/2020,35.56926,35.6926,34.459202,34.629982,29.817972,36815693
7/21/2020,35.04744,35.180267,34.648956,34.810246,29.973188,23588520
7/22/2020,36.271347,36.745731,35.597721,36.584438,31.500839,90705554
7/23/2020,37.220116,37.400379,36.223907,36.442123,31.378305,59639536
7/24/2020,36.081593,36.195446,35.417458,35.730549,30.76561,33870501
